delivery_id,predicted_duration
194096,3005.1800887904296
236895,3807.326043582344
190868,3436.3690584582605
183076,2829.8943164084217
186200,3307.2973510424563
86219,2854.208678872427
35439,3012.617881810603
123927,2672.13545154463
107026,3857.8155255633205
90341,2736.746117724524
50475,3542.0287603248485
221414,3411.0933699345746
119153,2729.9391339096815
248838,3292.334650192929
125516,3077.9387034847646
240286,2354.7970039546717
33116,2919.5504118775166
237801,2574.6892424519033
102948,3046.163424778886
26470,3337.4842191289863
210063,2709.409183894907
76850,2788.964843421517
144841,2885.263620690475
195839,3669.1776673906866
52177,3056.7249229460904
64485,3538.7359871376234
150042,3279.901163886066
41052,3182.8180449282013
193495,2424.8690624601754
165249,3780.9615913996768
236833,3438.164827143401
214592,2283.771849156255
75705,2399.0948947561874
51283,2792.9339681948063
169532,3979.7568622603785
182602,2653.504029003011
217450,3299.782323923142
108883,3224.3079169538873
234476,2694.5620956036223
127581,2614.8584482248743
49108,2822.5541089730646
184983,3457.5218310771033
120400,2634.668689273727
157120,2545.443376048223
110989,3677.9390893197083
81772,2979.9262041668317
84725,3854.0260737829044
14678,2705.532454472851
232839,3794.9832768721753
53138,2123.56701906615
99809,3733.1259689113926
250568,2334.9581381425564
23428,2758.7137642827406
211741,3403.7469205133575
28721,2661.703176971299
13046,3738.3399984077664
120976,2284.0873504096926
235804,2988.449340159569
237211,2563.488418894861
101398,3245.817272180047
117193,2925.456662547951
215135,2450.9370671018114
67787,2650.434634782085
187307,2227.54282435657
1154,3732.1529167117205
98407,2859.858222195476
6183,3079.865095958342
18915,2728.215723227456
224350,2699.3637790628923
114015,3126.553108854202
9734,3091.169045917983
19998,3398.6020249820003
42148,3102.8102604396754
211635,2613.024173600777
115361,2364.4619268928664
163220,2781.6755671215005
157797,3459.510705420958
13337,3485.673023437062
6507,2428.162152546149
42062,2027.3506514447797
192674,3761.620617796237
83456,3443.2168536467602
226554,2428.162152546149
45602,2998.2540520994717
228776,3420.0569586425913
127211,2633.7007055412987
139323,2149.3988058155055
200710,2710.2221340051155
135310,2948.777907371402
240727,2495.6421326960444
12509,2731.372292198869
125897,2711.2408627032246
112110,2800.789531971804
5486,3518.789130039139
105831,2776.119712386475
86840,2783.686745608207
51034,2779.801360414036
225545,2288.2147053358053
169104,2819.6817267753004
41676,2317.1605652804947
108010,3268.7171033250497
238500,2818.1791340347886
103318,2544.3791938747945
30810,2515.3213714646727
235600,3740.7318178104492
232838,2578.189686523285
43717,2718.7817213457606
189723,2621.5835437290893
145711,2285.0957502637184
135693,2685.6582778784996
198349,2444.1770534740153
228537,2627.5805045097886
195586,2641.89024541376
246298,2318.373569887769
65385,2643.0820281519955
169707,3613.2393360959395
157796,2356.6492931313774
107044,2786.3676507664254
53434,3148.1056832093695
223440,2150.4256208167244
121112,2785.9943326496905
145842,3641.2737192718455
219061,2779.8445446131427
102424,3864.5631843713827
175748,2412.0166362505183
193925,2929.6283933557297
39559,2689.9328992339492
210792,3351.23936238029
114490,2989.074432624246
102883,2490.996931061965
169126,2618.086339583018
107458,3114.520312227212
11700,2037.3584504587504
150195,2693.652487777966
144621,3784.0452834564953
23370,2920.7580854170133
65069,3222.6289811637675
161216,2959.3667138064784
205787,2700.2741354399122
67034,2642.0970420872623
27132,2362.194783406078
159340,2916.8452267931207
23909,3217.031791510919
103640,3213.759265360414
18684,2816.975078304992
123503,3207.8275780253
215699,2262.284808310303
38743,2826.7034400132834
176092,3833.568421241456
128120,3483.1880028699984
156578,2911.94916834498
209009,2856.947424424228
187370,2520.6419996758227
75323,3106.817204910503
52973,2263.495944910174
29650,2987.348914450388
179356,2369.410897259018
178608,2455.9848307104153
207917,2673.2021218945733
188547,2310.388419114443
166420,2890.8297222592687
185832,2346.068208394419
210556,2637.4075200351563
40504,2746.1318337369967
133183,3229.2980031503243
137330,2788.845215634838
19965,2825.824098076633
250804,2210.1748736030586
138734,3023.560950160965
194668,2547.1193038427923
155801,2671.455355967568
107580,3344.0388062157326
154422,2671.5666125626076
183822,2253.9171007814857
163290,2399.5380741760337
217400,3565.385605094111
120970,2914.3067470440606
65203,2757.367352522148
137196,2439.2447997111008
219945,2695.0695478902985
55899,2599.2468316403565
150837,3975.1215274759493
108775,2983.7177904136192
59364,3416.9762869181545
17118,3468.4439903483876
236470,2333.434497873603
189188,3125.0275906834318
140565,2272.371200439584
101699,2301.9403383610866
11405,3267.498584044734
219240,2657.5298074500542
140545,2593.114734746687
128509,2232.920349761593
245158,2595.4041446685737
78399,2066.549266725547
123755,2296.5993893295577
129145,2655.7739744445666
159810,2812.7247920009527
136485,3140.376927304767
53416,2978.182777308697
170020,3011.112330216553
179958,2176.094704820576
108585,2381.0460503989752
82416,3601.968111059772
200750,2703.7437339940393
248706,3756.3230379869437
31344,2721.9643455404266
176655,2482.188750475873
82150,3221.9294285047076
179169,3352.344286834969
197725,2473.9339188252925
214504,2304.0800661004296
193705,2186.704837078863
121110,2065.6412845602877
142674,2598.5538599411925
211752,2185.13568596673
12305,2938.537569020606
130027,3147.2151982178716
61821,3555.110559137828
36190,3005.722224778588
61634,2725.6977587629012
69864,3164.909026326927
56565,3072.8475068185867
110424,3071.6517515898436
178376,3085.770125081406
87462,2826.13315959947
23629,2959.9308549165657
58621,2796.3231988902658
209790,2192.4655940177613
241239,2384.2447905313816
189859,2914.141501645356
48243,2438.2641348507536
9561,2021.2106912376353
116257,2292.8380731210127
19783,2490.2407221339536
232532,1867.067430643928
103779,2514.5501789446407
83907,2223.7299955421054
94611,2603.1179435734184
202607,2651.7953008549525
162638,2242.3451802219774
86212,2885.002733746086
98445,2822.6668858544654
217780,2288.51840617635
42721,2421.2107889072413
91240,3319.3863012641696
100348,2269.711963958363
241228,2750.6127505573822
136678,2346.080436818901
27892,1987.7855537071412
208930,2863.2692422647933
12431,3120.8747414872014
96382,1951.5223475591577
185251,2063.1947028834825
77349,2566.117177623624
120291,2789.978836330604
117404,3080.9646415418138
93740,2893.1324371175915
141359,2559.579769443126
151045,2422.3939691829996
46182,2262.069537141701
135758,2779.815995949003
220438,2747.581796252555
59811,2505.9021943147322
241229,2191.7509436067126
122103,2169.781729423044
59124,2280.8341021992014
221087,2548.699900491542
237414,3514.79052606916
224423,2938.3473591548122
24633,2393.9504354226538
172377,2356.2383260055763
241250,3264.4136039932014
151448,2065.7363074360496
176434,2384.8066961333466
193411,3278.3735816467056
127027,2079.379089812294
48990,3176.089887978697
85557,2020.23270846253
53862,4852.661824056979
35862,3275.611290292168
188384,2505.4942348331247
191851,2255.39746581236
147745,2790.40476199622
12860,3245.1623285759624
157442,2402.6263394147713
230223,2307.802740132804
21927,3643.889967691392
103540,2657.7808264769483
193208,2122.2018285742956
239922,2385.1170381616853
143801,2742.904099263079
207489,2556.2759321215094
6473,2548.1343060102386
136591,2260.5380193197907
135971,2761.520616388636
222777,2763.2598351712672
198316,1882.9264135129579
189341,2769.236413547152
152892,3135.4947356671414
250785,2467.1327351582763
240055,2902.103155585294
92408,2099.207168130684
40677,1978.9417730493449
163281,3053.722571506275
115945,2704.3792804582313
94118,2745.1147853971074
134074,2728.819279338263
25299,2799.8654237481637
53356,1951.414299178426
250444,2529.6564730681557
195890,2764.7154083755295
188668,3601.850144800851
212598,1931.2026148803461
